month,air
1-Jan-49,112
1-Feb-49,118
1-Mar-49,132
1-Apr-49,129
1-May-49,121
1-Jun-49,135
1-Jul-49,148
1-Aug-49,148
1-Sep-49,136
1-Oct-49,119
1-Nov-49,104
1-Dec-49,118
1-Jan-50,115
1-Feb-50,126
1-Mar-50,141
1-Apr-50,135
1-May-50,125
1-Jun-50,149
1-Jul-50,170
1-Aug-50,170
1-Sep-50,158
1-Oct-50,133
1-Nov-50,114
1-Dec-50,140
1-Jan-51,145
1-Feb-51,150
1-Mar-51,178
1-Apr-51,163
1-May-51,172
1-Jun-51,178
1-Jul-51,199
1-Aug-51,199
1-Sep-51,184
1-Oct-51,162
1-Nov-51,146
1-Dec-51,166
1-Jan-52,171
1-Feb-52,180
1-Mar-52,193
1-Apr-52,181
1-May-52,183
1-Jun-52,218
1-Jul-52,230
1-Aug-52,242
1-Sep-52,209
1-Oct-52,191
1-Nov-52,172
1-Dec-52,194
1-Jan-53,196
1-Feb-53,196
1-Mar-53,236
1-Apr-53,235
1-May-53,229
1-Jun-53,243
1-Jul-53,264
1-Aug-53,272
1-Sep-53,237
1-Oct-53,211
1-Nov-53,180
1-Dec-53,201
1-Jan-54,204
1-Feb-54,188
1-Mar-54,235
1-Apr-54,227
1-May-54,234
1-Jun-54,264
1-Jul-54,302
1-Aug-54,293
1-Sep-54,259
1-Oct-54,229
1-Nov-54,203
1-Dec-54,229
1-Jan-55,242
1-Feb-55,233
1-Mar-55,267
1-Apr-55,269
1-May-55,270
1-Jun-55,315
1-Jul-55,364
1-Aug-55,347
1-Sep-55,312
1-Oct-55,274
1-Nov-55,237
1-Dec-55,278
1-Jan-56,284
1-Feb-56,277
1-Mar-56,317
1-Apr-56,313
1-May-56,318
1-Jun-56,374
1-Jul-56,413
1-Aug-56,405
1-Sep-56,355
1-Oct-56,306
1-Nov-56,271
1-Dec-56,306
1-Jan-57,315
1-Feb-57,301
1-Mar-57,356
1-Apr-57,348
1-May-57,355
1-Jun-57,422
1-Jul-57,465
1-Aug-57,467
1-Sep-57,404
1-Oct-57,347
1-Nov-57,305
1-Dec-57,336
1-Jan-58,340
1-Feb-58,318
1-Mar-58,362
1-Apr-58,348
1-May-58,363
1-Jun-58,435
1-Jul-58,491
1-Aug-58,505
1-Sep-58,404
1-Oct-58,359
1-Nov-58,310
1-Dec-58,337
1-Jan-59,360
1-Feb-59,342
1-Mar-59,406
1-Apr-59,396
1-May-59,420
1-Jun-59,472
1-Jul-59,548
1-Aug-59,559
1-Sep-59,463
1-Oct-59,407
1-Nov-59,362
1-Dec-59,405
1-Jan-60,417
1-Feb-60,391
1-Mar-60,419
1-Apr-60,461
1-May-60,472
1-Jun-60,535
1-Jul-60,622
1-Aug-60,606
1-Sep-60,508
1-Oct-60,461
1-Nov-60,390
1-Dec-60,432
